"rank","trade_flow","product_code_system","product_code","product_name","value_eur_m","share_percent","period","source_id","source_url","notes"
"1","Import","HS","27","Mineral fuels, mineral oils and products of their distillation","12291.943","11.690","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
"2","Import","HS","87","Vehicles other than railway or tramway rolling stock","12492.227","11.880","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
"3","Import","HS","84","Nuclear reactors, boilers, machinery and mechanical appliances","8807.694","8.376","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
"4","Import","HS","85","Electrical machinery and equipment and parts thereof","10267.504","9.764","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
"5","Import","HS","39","Plastics and articles thereof","4707.665","4.477","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
"6","Import","HS","30","Pharmaceutical products","3512.104","3.340","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
"7","Import","HS","72","Iron and steel","3496.972","3.325","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
"8","Import","HS","29","Organic chemicals","2819.121","2.681","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
"9","Import","HS","02","Meat and edible meat offal","1686.178","1.603","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
"10","Import","HS","10","Cereals","1323.028","1.258","2023 Annual","SRC_EUROSTAT_DS045409","https://ec.europa.eu/eurostat/databrowser/view/DS-045409/","Exact 2023 Eurostat extract."
